,datetime,eventid,accountname,clientaddr,servicename,processname,objectname,sharename,securityid
578,2019-07-25T05:04:31.850Z,4688,dc2016$,::1,,c:\windows\system32\wbem\wmiprvse.exe,,,s-1-5-18
579,2019-07-25T05:04:54.290Z,4769,win10$,::ffff:10.1.1.30,,,,,
580,2019-07-25T05:04:31.977Z,4674,dcadmin,::1,,c:\windows\system32\servermanager.exe,\registry\machine\system\controlset001\services\winsock2\parameters,,
581,2019-07-25T05:04:31.977Z,4674,dcadmin,::1,,c:\windows\system32\servermanager.exe,-,,
582,2019-07-25T05:04:31.984Z,4674,dcadmin,::1,,c:\windows\system32\wbem\wmiprvse.exe,\registry\machine\software\microsoft\windows nt\currentversion\perflib,,
583,2019-07-25T05:04:31.984Z,4674,dcadmin,::1,,c:\windows\system32\wbem\wmiprvse.exe,-,,
584,2019-07-25T05:04:32.991Z,4674,dcadmin,::1,,c:\windows\system32\wbem\wmiprvse.exe,\registry\machine\software\microsoft\windows nt\currentversion\perflib,,
585,2019-07-25T05:04:32.991Z,4674,dcadmin,::1,,c:\windows\system32\wbem\wmiprvse.exe,-,,
586,2019-07-25T05:04:57.851Z,4688,dc2016$,::1,,c:\windows\system32\consent.exe,,,s-1-5-18
587,2019-07-25T05:04:57.864Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
588,2019-07-25T05:04:57.998Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
589,2019-07-25T05:04:33.183Z,4688,dc2016$,::1,,c:\windows\system32\clipup.exe,,,s-1-5-18
590,2019-07-25T05:04:58.007Z,4688,dc2016$,::1,,c:\windows\system32\dllhost.exe,,,s-1-5-18
591,2019-07-25T05:04:33.198Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
592,2019-07-25T05:04:58.026Z,4688,dc2016$,::1,,c:\windows\system32\dllhost.exe,,,s-1-5-18
593,2019-07-25T05:04:33.243Z,4688,dc2016$,::1,,c:\windows\system32\clipup.exe,,,s-1-5-18
594,2019-07-25T05:04:33.249Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
595,2019-07-25T05:04:33.507Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
596,2019-07-25T05:04:33.586Z,4673,dcadmin,::1,,c:\windows\system32\svchost.exe,,,
